prospect_no,loan_disb_date,asset_cost,disb_date,down_payment,roi,age,is_exist_cust,dist_from_off,is_expat,children,earning_members,yrs_in_curr_resi,source_type,marital_status,gender,applicant_type,locality,accommodation_type,current_residence,veh_own,foir,tenure,vin_in_business,itv,itvg,target
627273,2021-08-23,839433,2023-03-11,148919,8.19,61,0,2.77,1,4,2,11,Others,Single,Other,Primary,Rural,Rented,Apartment,0,30.56,238,6,3.62,2.77,0
370645,2021-10-30,845794,2024-06-01,182380,12.66,63,0,14.21,1,1,4,30,Salary,Divorced,Female,Primary,Rural,Company Provided,House,1,32.83,80,20,0.55,2.08,0
231291,2022-09-16,670835,2021-09-27,198438,13.44,25,0,17.43,1,2,4,9,Salary,Divorced,Female,Primary,Rural,Owned,Others,0,53.05,19,24,5.8,0.74,0
217489,2022-01-17,407681,2023-11-02,31374,12.84,34,1,1.65,0,3,4,2,Salary,Divorced,Male,Primary,Urban,Owned,Apartment,1,28.48,213,5,5.92,4.19,0
281530,2021-04-11,491233,2023-01-30,9272,13.08,56,0,25.37,1,1,3,28,Salary,Widowed,Female,Co-Applicant,Rural,Company Provided,Shared,1,32.98,103,17,9.55,0.49,0
332837,2023-06-03,73975,2021-04-03,182457,6.41,55,0,18.37,1,0,3,19,Business,Married,Male,Primary,Rural,Owned,Shared,1,25.99,139,25,6.32,4.22,1
411221,2023-02-20,379498,2020-07-16,187153,6.8,57,1,17.45,0,3,1,4,Business,Widowed,Female,Primary,Semi-Urban,Company Provided,House,1,53.78,111,8,5.14,3.17,0
416438,2023-03-22,89416,2022-08-10,110247,8.3,30,1,18.63,1,3,4,12,Business,Married,Other,Primary,Rural,Rented,House,1,46.8,88,7,3.91,1.03,0
538347,2024-01-28,886363,2022-07-01,151460,10.84,41,0,49.48,1,2,1,8,Business,Widowed,Female,Primary,Urban,Parents,Apartment,0,45.6,99,16,6.93,3.68,0
877800,2020-09-29,91355,2022-07-04,186125,7.17,29,0,12.4,0,3,3,10,Business,Single,Other,Primary,Semi-Urban,Parents,Others,0,51.23,111,17,3.95,3.51,0
439707,2020-12-23,968148,2020-08-08,197454,9.74,26,1,49.36,1,2,4,18,Business,Single,Other,Co-Applicant,Semi-Urban,Parents,Shared,1,35.29,150,10,2.6,1.38,1
939597,2021-06-15,634463,2020-03-28,33475,14.21,29,0,11.82,0,2,2,17,Salary,Single,Other,Co-Applicant,Rural,Owned,House,1,50.91,147,1,3.61,4.18,0
542973,2021-09-28,872399,2021-07-14,143279,11.86,24,0,38.64,1,5,3,27,Business,Widowed,Other,Primary,Urban,Rented,Shared,0,50.82,31,23,6.69,3.68,0
530541,2021-08-21,395122,2020-10-20,108685,14.99,38,0,36.52,0,0,3,26,Salary,Widowed,Female,Primary,Rural,Owned,Apartment,1,33.98,213,3,6.24,2.38,0
317526,2024-05-13,867687,2020-12-02,29439,9.48,57,0,34.12,1,3,3,7,Salary,Widowed,Female,Co-Applicant,Rural,Parents,Apartment,0,52.32,49,9,3.29,3.11,0
185018,2020-12-02,822801,2022-07-10,9695,12.59,22,1,4.43,0,1,2,23,Others,Widowed,Other,Primary,Urban,Rented,Shared,0,50.17,228,10,7.05,0.31,0
473812,2022-11-04,625321,2021-12-27,191754,12.15,38,0,26.56,1,0,3,1,Salary,Divorced,Other,Primary,Rural,Company Provided,Apartment,0,53.25,240,13,9.43,1.14,0
285248,2020-05-03,391838,2023-08-02,12031,10.89,30,1,2.2,0,1,2,16,Salary,Widowed,Other,Co-Applicant,Rural,Company Provided,House,0,33.16,75,20,2.16,4.32,0
398247,2023-09-04,836060,2022-10-13,14418,11.44,36,0,25.68,0,3,3,16,Salary,Widowed,Other,Co-Applicant,Semi-Urban,Company Provided,Apartment,1,49.39,32,20,7.74,2.14,0
914542,2022-01-15,752280,2025-01-12,47273,13.69,31,0,22.95,0,5,1,22,Others,Divorced,Other,Co-Applicant,Urban,Owned,Apartment,1,26.07,96,3,2.79,4.23,0
620894,2021-11-16,62532,2023-06-27,150029,14.47,63,0,0.89,1,2,3,22,Others,Married,Other,Co-Applicant,Semi-Urban,Owned,Others,0,37.7,164,12,1.03,3.01,0
139733,2023-04-05,945821,2024-01-25,179840,12.26,43,0,15.38,0,1,3,4,Salary,Married,Male,Primary,Rural,Parents,Apartment,1,58.36,158,2,8.39,3.45,0
913469,2021-09-29,526792,2024-03-31,100280,10.52,22,1,47.03,0,1,4,16,Salary,Single,Other,Co-Applicant,Rural,Owned,House,0,21.57,12,5,5.51,2.89,0
772767,2023-12-18,253327,2022-06-20,160659,9.31,69,1,11.46,1,5,2,5,Business,Widowed,Other,Primary,Urban,Rented,Shared,1,46.32,178,5,4.82,0.44,0
905115,2020-12-09,167951,2021-01-08,34058,11.72,54,0,28.36,1,2,2,7,Others,Widowed,Other,Primary,Urban,Company Provided,Apartment,0,48.39,130,10,9.04,3.29,0
840040,2022-07-02,658103,2023-05-17,189293,10.79,25,0,27.69,1,2,3,10,Business,Divorced,Female,Primary,Semi-Urban,Parents,House,0,42.1,147,14,1.81,4.43,0
536401,2021-04-13,328657,2021-01-24,113385,5.19,63,1,5.28,1,5,4,13,Salary,Married,Male,Co-Applicant,Urban,Parents,Others,1,44.47,42,19,5.91,3.55,0
237917,2023-09-22,502229,2020-03-25,110976,9.63,61,0,13.26,0,5,1,26,Others,Single,Other,Co-Applicant,Urban,Rented,Others,0,33.03,84,9,8.27,2.28,0
154685,2020-10-07,699624,2020-06-27,146812,8.74,63,0,7.66,1,2,4,19,Others,Married,Other,Primary,Rural,Company Provided,Shared,0,33.9,45,11,1.44,3.36,0
223141,2021-10-31,555615,2021-02-16,75744,13.58,56,0,15.49,1,3,2,13,Business,Married,Male,Primary,Rural,Parents,House,1,31.72,146,24,7.78,3.0,0
680427,2023-08-31,244212,2022-04-10,37632,6.9,62,1,31.95,0,2,2,8,Others,Widowed,Other,Primary,Semi-Urban,Parents,Others,0,21.72,137,22,2.04,1.21,0
429676,2022-06-03,542111,2022-03-25,134955,11.99,47,1,25.57,0,4,2,2,Salary,Married,Other,Co-Applicant,Semi-Urban,Company Provided,House,1,43.1,69,14,7.08,1.55,0
354180,2024-04-15,861060,2023-11-18,64937,7.7,60,1,25.6,1,5,2,5,Others,Divorced,Other,Primary,Rural,Owned,Shared,1,54.13,229,4,7.53,1.74,0
658112,2021-08-20,658229,2022-01-24,175477,7.26,30,1,43.62,1,3,3,15,Others,Single,Other,Co-Applicant,Rural,Owned,Others,1,42.96,131,5,4.14,4.16,0
400898,2020-07-02,535456,2021-04-15,90138,14.99,70,0,24.12,0,3,3,10,Others,Divorced,Other,Co-Applicant,Semi-Urban,Rented,Apartment,0,37.75,63,8,3.53,1.54,0
334123,2022-04-17,269348,2021-01-31,88625,13.87,66,0,27.68,0,1,3,9,Others,Widowed,Male,Co-Applicant,Rural,Owned,Others,0,41.2,185,21,7.01,0.6,0
223168,2021-03-12,110686,2021-12-01,100506,12.88,60,0,38.28,0,2,3,9,Business,Divorced,Female,Co-Applicant,Semi-Urban,Company Provided,Apartment,1,57.6,155,12,3.72,4.4,0
118983,2023-05-10,701531,2020-07-18,5954,13.23,44,1,45.21,0,0,1,27,Salary,Widowed,Female,Primary,Semi-Urban,Parents,Shared,0,52.45,193,5,8.23,3.21,0
494664,2022-10-20,362482,2021-03-22,5422,14.21,50,1,14.13,0,5,4,1,Others,Married,Female,Co-Applicant,Rural,Rented,Apartment,0,42.85,188,15,1.82,3.77,0
617139,2022-09-14,99501,2023-02-05,159154,11.76,60,1,49.51,1,1,3,11,Salary,Single,Other,Co-Applicant,Semi-Urban,Owned,House,1,34.62,186,12,6.53,2.17,0
394244,2024-02-21,634158,2020-10-18,96125,8.76,45,0,13.55,0,2,1,15,Business,Widowed,Female,Primary,Semi-Urban,Company Provided,Others,1,54.22,188,15,8.27,1.72,0
955180,2020-09-10,763362,2020-03-20,42298,13.47,38,0,32.75,0,1,4,22,Business,Single,Female,Primary,Semi-Urban,Owned,Others,0,54.51,111,20,6.27,3.38,0
196652,2023-07-29,472592,2023-07-03,17271,13.71,31,1,42.04,1,1,2,2,Others,Widowed,Other,Primary,Semi-Urban,Company Provided,Apartment,1,29.04,48,1,9.61,0.27,0
434874,2022-05-04,987335,2020-09-19,184659,14.85,42,0,14.23,0,2,4,16,Business,Divorced,Other,Co-Applicant,Rural,Company Provided,Shared,0,59.7,110,6,1.15,3.53,0
740497,2022-02-02,975348,2021-06-21,175324,8.8,41,1,41.63,1,3,2,21,Business,Married,Male,Primary,Semi-Urban,Company Provided,Apartment,1,36.7,157,21,6.99,0.23,1
911616,2021-06-11,929545,2020-06-29,97524,7.12,56,1,12.56,1,1,4,15,Others,Divorced,Other,Primary,Rural,Company Provided,Others,1,28.3,66,1,3.94,3.24,1
283379,2020-07-10,116029,2020-11-05,168150,8.16,65,0,34.87,0,1,4,1,Salary,Single,Female,Primary,Rural,Owned,Others,1,38.6,215,10,1.14,0.41,0
545254,2024-03-28,884309,2024-08-18,109437,10.9,55,0,15.02,1,1,2,21,Others,Single,Other,Co-Applicant,Semi-Urban,Owned,House,1,33.48,45,7,7.41,1.36,0
342406,2022-02-06,698557,2022-09-28,179683,6.93,19,1,9.61,1,2,3,26,Others,Married,Female,Co-Applicant,Urban,Parents,Others,0,42.0,98,12,2.1,3.42,0
468761,2023-10-09,679817,2022-12-18,109920,8.7,50,0,49.21,0,2,3,27,Others,Widowed,Male,Primary,Rural,Rented,Apartment,1,53.45,240,19,1.34,1.63,0
877215,2024-07-27,249307,2020-07-04,105264,10.62,38,0,36.51,1,4,4,15,Others,Single,Female,Co-Applicant,Urban,Company Provided,Shared,1,47.56,121,1,3.8,4.05,0
201247,2022-06-11,790338,2020-11-28,66450,5.12,43,0,35.56,1,0,4,14,Others,Widowed,Female,Co-Applicant,Rural,Owned,House,1,41.01,149,23,3.87,3.71,0
668564,2020-06-24,60190,2021-07-19,102655,7.19,29,0,40.24,1,1,3,6,Business,Single,Male,Co-Applicant,Semi-Urban,Company Provided,Others,1,21.98,92,13,9.0,4.26,1
429191,2020-11-04,459092,2024-06-27,132991,6.69,46,1,32.85,0,3,3,25,Others,Widowed,Male,Co-Applicant,Urban,Company Provided,Apartment,0,22.85,34,12,6.54,0.11,1
639054,2023-09-20,234229,2020-01-25,103605,7.25,57,1,32.87,1,4,2,12,Others,Widowed,Female,Co-Applicant,Urban,Rented,Apartment,1,32.6,17,2,6.32,0.24,1
720369,2024-06-22,793757,2020-07-31,112784,5.65,68,0,32.11,1,0,3,30,Business,Divorced,Female,Primary,Urban,Owned,Shared,1,38.87,21,15,7.08,1.89,0
966523,2023-12-02,791178,2020-12-01,51384,8.64,66,0,31.77,0,0,3,6,Others,Married,Female,Co-Applicant,Urban,Owned,Others,0,30.71,22,14,9.76,2.93,0
867432,2022-05-29,317411,2022-08-20,96304,8.68,18,0,41.56,1,3,3,8,Business,Widowed,Other,Co-Applicant,Urban,Rented,Apartment,0,21.51,158,16,3.41,0.92,0
265476,2020-07-07,536603,2024-08-29,51613,9.77,70,1,47.24,0,1,4,30,Business,Single,Male,Primary,Rural,Owned,Others,0,55.72,202,10,2.21,3.06,0
254252,2022-05-04,847063,2021-04-10,77547,5.43,40,0,22.61,0,0,2,2,Business,Married,Male,Primary,Rural,Owned,Apartment,1,28.11,76,19,7.4,1.41,1
220311,2022-08-08,336987,2023-02-20,104783,12.52,33,1,42.23,0,0,4,11,Business,Single,Other,Co-Applicant,Semi-Urban,Owned,Others,1,27.84,81,14,4.21,0.74,0
672444,2020-06-24,691845,2023-05-20,95880,11.24,30,1,45.24,0,4,2,28,Others,Single,Female,Primary,Semi-Urban,Company Provided,House,0,57.47,94,7,7.08,3.08,0
579800,2021-06-07,376027,2023-12-30,177937,8.97,50,1,24.48,0,2,3,7,Salary,Single,Other,Primary,Rural,Parents,Apartment,0,26.51,175,7,1.55,4.35,1
400753,2021-03-10,820386,2023-02-14,87241,8.37,64,1,7.46,1,4,4,16,Others,Single,Male,Primary,Rural,Company Provided,House,1,20.51,76,7,7.55,4.93,0
550091,2023-05-24,511417,2021-05-19,153252,13.16,40,0,20.82,0,2,4,25,Others,Widowed,Female,Co-Applicant,Urban,Rented,Apartment,0,48.52,183,5,5.14,1.83,0
562998,2022-01-27,405587,2024-01-11,167501,9.83,40,0,7.81,0,2,1,21,Others,Married,Male,Primary,Semi-Urban,Rented,Shared,0,21.03,226,23,6.43,4.54,1
436565,2021-03-10,480180,2022-10-14,198710,14.64,49,0,46.04,1,4,3,19,Others,Single,Other,Primary,Semi-Urban,Owned,House,0,24.67,56,17,0.62,1.44,0
321520,2021-09-08,246173,2020-11-29,127647,12.36,70,0,34.83,0,5,1,6,Salary,Divorced,Other,Co-Applicant,Urban,Rented,Apartment,1,56.36,123,1,2.7,3.31,0
355475,2022-09-02,622228,2020-01-19,7679,7.25,24,1,23.33,1,3,4,14,Salary,Divorced,Other,Primary,Urban,Parents,Shared,0,26.08,192,1,3.49,2.09,0
847262,2021-10-26,867327,2023-05-07,198785,10.91,33,1,15.83,1,3,1,17,Others,Married,Female,Co-Applicant,Semi-Urban,Owned,Apartment,0,30.0,127,23,1.57,3.83,0
229333,2021-03-10,176873,2023-11-22,48618,11.08,36,0,2.96,1,1,2,29,Others,Divorced,Male,Primary,Rural,Owned,Apartment,1,38.46,228,14,4.34,2.43,0
320571,2020-06-06,84845,2022-07-03,23936,8.29,58,1,39.32,1,1,2,8,Salary,Married,Female,Primary,Urban,Owned,Apartment,1,34.34,112,13,9.98,0.57,1
962406,2022-12-14,278625,2024-12-21,73570,9.38,39,1,37.11,1,3,1,8,Others,Widowed,Female,Co-Applicant,Semi-Urban,Owned,Others,1,20.47,64,3,5.74,4.91,1
141396,2022-03-06,81856,2024-07-12,168108,13.74,26,1,5.12,0,5,2,3,Salary,Widowed,Female,Co-Applicant,Urban,Rented,Others,1,36.64,23,4,5.0,0.2,0
857250,2021-09-22,380509,2022-03-26,59294,11.2,46,0,26.7,0,2,4,2,Salary,Divorced,Female,Co-Applicant,Urban,Owned,House,1,20.51,115,9,5.82,2.38,0
803203,2020-04-08,299232,2022-11-03,176004,14.32,44,1,8.85,1,5,2,17,Salary,Married,Male,Primary,Urban,Company Provided,Apartment,0,30.27,95,14,1.27,4.8,0
988320,2021-01-13,306804,2024-12-06,190979,8.82,24,1,22.95,1,1,4,11,Others,Married,Female,Primary,Rural,Owned,Others,1,28.53,174,23,9.66,0.83,0
608848,2024-09-13,424357,2020-10-18,191699,7.66,51,1,0.54,0,5,2,22,Business,Married,Female,Co-Applicant,Rural,Rented,Others,0,25.34,196,5,7.72,1.28,1
934704,2023-12-03,719426,2021-12-25,63462,6.93,22,1,6.6,0,1,3,4,Salary,Divorced,Male,Co-Applicant,Urban,Rented,Others,1,58.18,214,10,4.8,2.37,0
108300,2023-11-30,935986,2023-04-23,72224,5.36,30,0,41.04,0,2,4,5,Business,Single,Female,Co-Applicant,Semi-Urban,Rented,Others,1,57.21,97,2,0.73,4.66,0
202282,2020-09-29,260693,2023-06-06,144532,11.36,47,1,28.28,1,3,1,20,Business,Widowed,Female,Primary,Semi-Urban,Owned,Shared,1,39.2,121,19,4.84,3.85,0
337169,2020-10-27,299070,2020-02-02,141646,13.3,27,0,47.14,0,2,1,14,Salary,Widowed,Other,Primary,Rural,Company Provided,Others,1,49.61,159,13,7.74,0.73,0
266170,2021-05-27,666342,2020-01-30,58332,9.68,22,1,12.44,0,5,2,23,Salary,Married,Male,Co-Applicant,Urban,Company Provided,Others,1,30.2,130,8,1.08,1.6,0
145656,2021-09-23,544361,2023-04-08,181636,10.13,62,0,40.52,1,4,1,16,Business,Divorced,Male,Co-Applicant,Urban,Owned,Apartment,0,44.59,88,5,3.19,1.52,0
791728,2022-06-04,458262,2022-05-21,99254,13.51,65,0,10.1,1,1,3,15,Salary,Widowed,Female,Primary,Rural,Rented,Apartment,0,37.94,66,1,2.49,2.75,0
994137,2020-04-18,881444,2023-10-08,30084,11.32,56,0,27.38,1,2,3,30,Business,Widowed,Female,Primary,Urban,Rented,Others,0,21.95,229,12,2.65,3.11,0
830603,2022-03-14,57559,2022-08-09,60201,13.67,23,1,48.02,1,4,2,7,Business,Married,Female,Co-Applicant,Urban,Owned,Shared,1,25.77,234,8,7.59,3.23,0
251414,2020-10-14,594787,2023-07-18,6668,13.19,34,0,37.24,0,2,1,21,Business,Divorced,Other,Co-Applicant,Semi-Urban,Parents,Shared,1,31.77,229,19,5.13,1.28,0
749609,2020-02-10,526121,2023-09-20,146143,11.32,40,1,12.28,0,5,2,8,Business,Widowed,Female,Co-Applicant,Semi-Urban,Company Provided,Apartment,1,34.37,169,1,1.11,1.5,0
980652,2020-05-04,945991,2021-11-26,190779,13.85,46,1,24.8,1,3,3,6,Business,Divorced,Other,Co-Applicant,Urban,Rented,House,1,32.71,74,11,1.88,0.42,0
229911,2023-09-22,654495,2021-08-01,125978,10.83,56,0,8.18,1,2,4,13,Others,Single,Male,Co-Applicant,Rural,Parents,Others,1,31.39,32,17,8.23,0.81,0
789044,2022-02-13,374446,2024-09-23,30321,11.83,53,1,31.61,0,1,1,5,Business,Married,Other,Co-Applicant,Semi-Urban,Parents,Others,1,39.18,116,17,5.01,0.16,0
331891,2021-12-22,339028,2022-07-09,88850,6.29,36,1,22.61,0,3,2,5,Salary,Married,Other,Primary,Urban,Company Provided,Shared,0,48.64,108,10,6.59,1.47,0
828602,2020-05-31,657220,2022-03-24,82673,11.14,64,1,41.52,0,4,1,27,Business,Married,Other,Co-Applicant,Rural,Parents,Apartment,0,44.9,212,20,6.9,3.67,0
737843,2020-12-26,841866,2020-06-22,52100,7.59,36,0,47.38,1,5,1,14,Others,Married,Male,Primary,Urban,Parents,Apartment,1,55.53,175,4,1.47,4.16,0
980530,2020-10-06,574417,2021-01-03,57104,14.06,52,1,34.52,1,1,2,14,Others,Single,Female,Co-Applicant,Urban,Rented,Others,0,49.13,52,13,6.87,3.89,0
140043,2023-03-22,57771,2022-03-22,167502,7.05,37,1,3.12,1,2,2,25,Others,Widowed,Other,Primary,Semi-Urban,Rented,Others,1,52.83,176,19,7.8,0.76,0
584744,2023-05-06,607388,2024-07-07,95727,7.09,64,0,46.28,1,5,3,7,Salary,Single,Other,Primary,Rural,Parents,Others,1,42.68,25,22,3.02,2.56,0
324959,2020-06-05,63161,2021-10-06,182996,7.81,31,0,2.9,0,0,2,14,Others,Single,Female,Primary,Rural,Rented,Others,0,45.99,67,23,4.95,3.43,0
737960,2023-11-21,461620,2024-04-24,117672,10.58,32,1,12.02,1,2,3,15,Salary,Widowed,Other,Co-Applicant,Urban,Owned,Others,1,36.43,168,10,6.55,4.61,0
671834,2024-08-04,479584,2020-03-12,39702,12.71,51,0,7.15,1,3,3,6,Others,Widowed,Female,Co-Applicant,Urban,Owned,Shared,0,43.43,107,6,7.49,4.5,0
504204,2022-04-04,938994,2021-11-28,53760,7.65,64,0,37.62,0,3,2,8,Others,Married,Other,Co-Applicant,Rural,Parents,Others,1,28.85,213,5,2.08,2.55,0
264700,2023-04-24,464831,2022-01-08,162904,14.82,53,1,16.94,1,1,2,21,Others,Single,Male,Co-Applicant,Rural,Owned,House,0,51.18,58,10,6.2,0.95,0
860114,2023-04-08,930102,2024-11-22,199160,12.67,61,1,27.62,0,0,3,21,Salary,Single,Female,Co-Applicant,Rural,Company Provided,Shared,1,50.23,54,18,7.23,3.04,0
185891,2022-09-08,871956,2021-05-21,120630,13.1,21,1,25.57,0,1,1,21,Salary,Divorced,Other,Co-Applicant,Rural,Parents,Others,1,58.81,81,5,6.18,4.69,0
719139,2022-10-13,708337,2021-12-21,189208,11.92,24,0,18.36,1,2,1,9,Others,Divorced,Female,Co-Applicant,Rural,Company Provided,House,0,33.69,95,23,3.91,1.46,0
180431,2021-06-30,727163,2024-07-02,10794,12.72,65,0,2.38,1,2,1,9,Business,Divorced,Female,Co-Applicant,Urban,Rented,House,0,35.22,204,2,9.57,3.0,0
580011,2024-06-27,826142,2021-10-19,128673,5.19,70,1,34.46,0,1,1,5,Business,Married,Female,Co-Applicant,Rural,Parents,Shared,1,51.51,45,22,7.85,2.55,0
478911,2021-10-18,579125,2021-09-11,102917,11.13,56,0,15.67,1,2,2,4,Business,Married,Female,Primary,Rural,Company Provided,Apartment,0,29.59,116,22,1.56,1.99,0
373338,2022-05-25,473221,2023-06-30,113491,5.55,62,0,33.28,0,5,4,18,Business,Single,Female,Primary,Urban,Parents,Shared,1,40.31,145,14,8.6,4.06,0
150184,2022-05-30,330286,2021-10-21,173948,5.92,59,0,22.76,1,2,2,6,Others,Divorced,Male,Primary,Urban,Parents,Shared,0,22.53,151,25,4.82,2.39,1
880148,2021-08-26,278552,2021-08-14,95415,12.98,57,0,41.27,1,1,1,27,Salary,Single,Female,Co-Applicant,Semi-Urban,Parents,Others,0,23.21,219,1,4.49,0.6,0
159550,2020-05-03,731147,2021-09-04,64756,14.43,58,1,29.03,0,3,2,9,Business,Widowed,Other,Primary,Semi-Urban,Rented,House,0,36.99,32,12,1.42,0.59,0
323775,2022-06-14,738753,2020-05-22,23254,12.5,48,0,46.19,0,1,2,10,Business,Divorced,Male,Primary,Semi-Urban,Rented,Others,1,30.2,222,8,2.46,0.28,0
395457,2022-01-16,797150,2024-08-18,12365,8.61,55,1,40.58,0,3,4,7,Salary,Single,Other,Co-Applicant,Semi-Urban,Parents,Others,1,55.05,181,3,8.25,4.3,0
924678,2024-08-24,475255,2020-11-16,168507,12.76,47,1,10.61,0,3,4,1,Salary,Divorced,Male,Co-Applicant,Semi-Urban,Owned,House,0,35.27,98,12,1.06,1.17,0
504645,2022-02-12,931941,2023-06-13,51987,8.32,64,1,48.1,0,3,2,29,Salary,Single,Male,Co-Applicant,Semi-Urban,Rented,Shared,1,28.72,127,15,7.32,2.74,0
713297,2022-04-06,693998,2023-04-27,99607,5.64,55,1,20.02,1,1,1,9,Business,Divorced,Male,Co-Applicant,Semi-Urban,Owned,Others,1,48.53,29,10,0.8,4.04,0
775292,2023-11-22,600410,2022-08-28,51987,12.7,60,0,18.15,0,5,3,19,Others,Divorced,Other,Primary,Urban,Rented,House,0,31.37,43,15,8.41,2.2,0
882833,2021-11-09,839848,2024-07-17,175743,13.28,31,0,39.13,0,1,1,15,Salary,Single,Other,Co-Applicant,Semi-Urban,Owned,House,1,23.22,139,25,9.7,4.65,0
890754,2020-05-05,213462,2023-07-31,83087,11.11,69,0,18.37,0,4,3,25,Salary,Widowed,Male,Co-Applicant,Rural,Company Provided,Others,0,48.64,152,16,6.16,5.0,0
876003,2023-02-22,250002,2024-12-03,98964,14.0,39,0,27.77,0,5,3,9,Others,Single,Female,Primary,Rural,Rented,Others,0,37.69,105,17,8.15,1.22,0
368818,2022-09-10,712922,2022-07-24,132063,12.63,20,0,38.63,1,4,4,19,Business,Single,Female,Primary,Rural,Company Provided,House,1,36.68,88,1,4.62,2.69,0
315418,2023-05-26,737535,2020-05-02,60633,6.78,40,1,48.57,1,5,1,13,Salary,Widowed,Other,Co-Applicant,Semi-Urban,Rented,Apartment,0,56.37,202,2,4.18,1.14,0
647543,2020-08-08,913392,2023-06-05,29203,10.55,49,1,31.07,0,2,1,11,Others,Single,Male,Co-Applicant,Rural,Company Provided,Shared,1,21.2,196,1,0.85,3.5,0
597568,2024-02-21,676779,2022-07-28,123328,14.59,32,0,20.59,1,2,2,19,Others,Widowed,Other,Co-Applicant,Rural,Parents,House,0,44.5,82,6,8.08,0.47,0
573462,2023-07-23,372192,2022-09-09,108224,11.35,49,0,20.67,1,2,2,18,Salary,Single,Male,Co-Applicant,Urban,Company Provided,House,0,34.85,191,6,6.04,3.12,0
250456,2020-05-25,899727,2022-03-30,50504,7.53,40,1,39.9,1,1,2,1,Others,Widowed,Other,Primary,Semi-Urban,Parents,House,0,37.3,235,24,6.31,4.31,1
626651,2022-01-14,175740,2022-11-22,147324,7.97,42,0,35.39,0,0,3,30,Business,Widowed,Female,Co-Applicant,Semi-Urban,Parents,Shared,1,42.58,57,8,4.9,0.33,0
575843,2021-07-11,783871,2023-01-30,18466,5.64,21,0,18.11,1,5,3,28,Salary,Married,Female,Primary,Semi-Urban,Parents,House,0,52.92,48,13,8.14,2.78,0
877679,2021-03-25,797612,2022-10-20,161710,6.59,39,1,29.59,1,0,3,23,Salary,Single,Male,Co-Applicant,Urban,Parents,Shared,0,34.4,101,24,7.98,4.97,1
425839,2020-01-20,845552,2021-11-18,190845,9.96,32,0,47.45,1,1,4,7,Business,Divorced,Female,Co-Applicant,Urban,Rented,House,1,50.77,145,22,2.72,3.9,0
740861,2024-02-11,848913,2024-02-23,162508,7.65,33,0,37.42,1,5,4,2,Business,Single,Male,Co-Applicant,Semi-Urban,Company Provided,Apartment,0,33.91,18,4,8.76,1.56,1
470502,2023-06-20,550148,2022-07-18,10590,10.46,27,0,28.86,1,2,1,27,Salary,Married,Female,Co-Applicant,Rural,Owned,Others,0,29.33,148,14,8.15,3.51,0
480760,2022-05-20,818201,2023-01-07,167838,12.52,40,1,42.08,0,3,4,28,Business,Widowed,Female,Co-Applicant,Urban,Parents,House,0,28.76,234,23,9.03,1.31,0
384094,2022-11-16,679121,2020-10-29,30166,13.55,41,0,28.03,1,5,4,27,Business,Married,Other,Co-Applicant,Rural,Owned,Others,0,38.35,228,22,1.3,1.95,0
187180,2021-03-25,309026,2023-09-12,73235,8.76,38,1,16.8,0,0,4,15,Others,Widowed,Male,Primary,Semi-Urban,Parents,Apartment,0,26.22,168,4,1.11,2.24,1
758487,2023-05-20,107734,2021-02-22,106345,7.1,66,0,43.88,0,4,4,10,Others,Divorced,Other,Co-Applicant,Rural,Owned,House,1,51.16,140,4,8.86,0.82,0
375269,2023-08-17,884308,2024-10-07,185438,7.57,70,0,21.39,0,5,4,6,Others,Divorced,Male,Co-Applicant,Semi-Urban,Rented,Shared,0,47.64,179,6,4.67,1.91,0
123484,2025-01-07,76704,2020-09-26,179507,9.51,19,1,4.52,1,1,2,2,Others,Widowed,Male,Primary,Urban,Owned,House,0,21.5,198,22,3.99,3.0,0
318105,2022-10-09,888696,2023-04-16,179601,13.67,49,0,34.37,0,1,4,16,Business,Single,Male,Co-Applicant,Urban,Company Provided,Others,1,43.98,151,2,9.31,3.82,0
585265,2020-08-24,336440,2024-10-24,163180,10.13,53,1,46.04,0,4,3,27,Salary,Married,Other,Co-Applicant,Urban,Owned,House,1,28.01,138,2,1.3,4.52,0
973186,2023-01-18,269912,2024-04-02,151171,7.32,54,0,29.24,1,4,4,8,Others,Divorced,Male,Co-Applicant,Rural,Parents,House,0,46.01,18,5,6.64,4.42,0
338122,2020-09-10,287668,2024-08-31,51835,5.46,31,1,15.93,0,3,1,7,Salary,Divorced,Female,Primary,Urban,Company Provided,Shared,0,33.37,199,21,1.81,0.26,1
473758,2022-01-23,519460,2022-12-29,81532,11.07,52,1,36.76,0,0,1,30,Salary,Married,Other,Primary,Semi-Urban,Company Provided,Apartment,0,39.34,36,20,3.67,2.83,0
205668,2022-07-28,846484,2021-09-16,87002,11.7,40,1,27.97,1,0,2,22,Business,Single,Female,Primary,Urban,Owned,Apartment,0,43.19,94,24,0.97,3.58,0
255123,2023-06-18,779954,2024-07-01,52805,10.02,65,0,37.75,1,3,2,15,Salary,Widowed,Female,Co-Applicant,Semi-Urban,Owned,Shared,1,59.14,171,6,1.29,3.91,0
483537,2024-04-22,978482,2022-12-28,68062,11.13,57,0,42.92,1,5,4,29,Business,Married,Other,Co-Applicant,Urban,Rented,Others,0,31.4,78,23,7.22,4.03,0
862613,2020-10-01,969170,2020-04-23,41280,13.79,23,0,21.52,0,1,2,2,Salary,Married,Female,Primary,Semi-Urban,Parents,Others,0,40.2,174,2,5.79,1.45,0
